Location,median_income
"Merced County, California: Summary level: 050, state:06> county:047",49971
"Lake County, California: Summary level: 050, state:06> county:033",52182
"Mariposa County, California: Summary level: 050, state:06> county:043",62966
"Yuba County, California: Summary level: 050, state:06> county:115",57391
"Contra Costa County, California: Summary level: 050, state:06> county:013",103598
"Inyo County, California: Summary level: 050, state:06> county:027",70767
"Lassen County, California: Summary level: 050, state:06> county:035",66290
"Stanislaus County, California: Summary level: 050, state:06> county:099",60757
"Santa Barbara County, California: Summary level: 050, state:06> county:083",78481
"Sonoma County, California: Summary level: 050, state:06> county:097",86604
"Tehama County, California: Summary level: 050, state:06> county:103",52583
"Imperial County, California: Summary level: 050, state:06> county:025",51447
"Mono County, California: Summary level: 050, state:06> county:051",76196
"San Benito County, California: Summary level: 050, state:06> county:069",84489
"Alameda County, California: Summary level: 050, state:06> county:001",103600
"Sacramento County, California: Summary level: 050, state:06> county:067",70821
"El Dorado County, California: Summary level: 050, state:06> county:017",93154
"Napa County, California: Summary level: 050, state:06> county:055",93082
"San Diego County, California: Summary level: 050, state:06> county:073",81823
"Monterey County, California: Summary level: 050, state:06> county:053",69222
"San Francisco County, California: Summary level: 050, state:06> county:075",114049
"Sierra County, California: Summary level: 050, state:06> county:091",86205
"Tulare County, California: Summary level: 050, state:06> county:107",47280
"Yolo County, California: Summary level: 050, state:06> county:113",81149
"Humboldt County, California: Summary level: 050, state:06> county:023",56696
"Nevada County, California: Summary level: 050, state:06> county:057",75931
"Alpine County, California: Summary level: 050, state:06> county:003",72857
"Madera County, California: Summary level: 050, state:06> county:039",53712
"Mendocino County, California: Summary level: 050, state:06> county:045",59127
"Santa Cruz County, California: Summary level: 050, state:06> county:087",90531
"Trinity County, California: Summary level: 050, state:06> county:105",48596
"Los Angeles County, California: Summary level: 050, state:06> county:037",68272
"Riverside County, California: Summary level: 050, state:06> county:065",68846
"San Bernardino County, California: Summary level: 050, state:06> county:071",63170
"Santa Clara County, California: Summary level: 050, state:06> county:085",122700
"Marin County, California: Summary level: 050, state:06> county:041",136857
"Placer County, California: Summary level: 050, state:06> county:061",98552
"Siskiyou County, California: Summary level: 050, state:06> county:093",51227
"Shasta County, California: Summary level: 050, state:06> county:089",59787
"Solano County, California: Summary level: 050, state:06> county:095",83654
"Del Norte County, California: Summary level: 050, state:06> county:015",54061
"Colusa County, California: Summary level: 050, state:06> county:011",62493
"Glenn County, California: Summary level: 050, state:06> county:021",53364
"Butte County, California: Summary level: 050, state:06> county:007",61054
"Kings County, California: Summary level: 050, state:06> county:031",52533
"Plumas County, California: Summary level: 050, state:06> county:063",67950
"San Luis Obispo County, California: Summary level: 050, state:06> county:079",83084
"Fresno County, California: Summary level: 050, state:06> county:019",53907
"Kern County, California: Summary level: 050, state:06> county:029",55176
"Orange County, California: Summary level: 050, state:06> county:059",92236
"Ventura County, California: Summary level: 050, state:06> county:111",91732
"Calaveras County, California: Summary level: 050, state:06> county:009",75710
"Sutter County, California: Summary level: 050, state:06> county:101",61590
"San Mateo County, California: Summary level: 050, state:06> county:081",124485
"Tuolumne County, California: Summary level: 050, state:06> county:109",67423
"San Joaquin County, California: Summary level: 050, state:06> county:077",65375
"Amador County, California: Summary level: 050, state:06> county:005",74151
"Costilla County, Colorado: Summary level: 050, state:08> county:023",34688
"Adams County, Colorado: Summary level: 050, state:08> county:001",72332
"Conejos County, Colorado: Summary level: 050, state:08> county:021",50144
"Custer County, Colorado: Summary level: 050, state:08> county:027",54306
"Douglas County, Colorado: Summary level: 050, state:08> county:035",124371
"Eagle County, Colorado: Summary level: 050, state:08> county:037",94050
"Lake County, Colorado: Summary level: 050, state:08> county:065",62888
"La Plata County, Colorado: Summary level: 050, state:08> county:067",78735
"Moffat County, Colorado: Summary level: 050, state:08> county:081",68492
"Pitkin County, Colorado: Summary level: 050, state:08> county:097",104021
"Rio Grande County, Colorado: Summary level: 050, state:08> county:105",52550
"Cheyenne County, Colorado: Summary level: 050, state:08> county:017",68523
"Bent County, Colorado: Summary level: 050, state:08> county:011",40893
"Crowley County, Colorado: Summary level: 050, state:08> county:025",49773
"Dolores County, Colorado: Summary level: 050, state:08> county:033",48359
"San Juan County, Colorado: Summary level: 050, state:08> county:111",59250
"Jackson County, Colorado: Summary level: 050, state:08> county:057",52000
"Larimer County, Colorado: Summary level: 050, state:08> county:069",84443
